Customer ID,RFM_Score,Segment
12346.0,25,cant_loose
12347.0,52,potential_loyalists
12348.0,21,hibernating
12349.0,33,need_attention
12351.0,51,new_customers
12352.0,52,potential_loyalists
12353.0,31,about_to_sleep
12355.0,11,hibernating
12356.0,43,potential_loyalists
12357.0,42,potential_loyalists
12358.0,53,potential_loyalists
12359.0,34,loyal_customers
12360.0,54,champions
12361.0,23,at_Risk
12362.0,11,hibernating
12366.0,11,hibernating
12368.0,11,hibernating
12369.0,33,need_attention
12370.0,13,at_Risk
12371.0,33,need_attention
12373.0,12,hibernating
12374.0,33,need_attention
12376.0,42,potential_loyalists
12377.0,42,potential_loyalists
12378.0,11,hibernating
12379.0,32,about_to_sleep
12380.0,25,cant_loose
12385.0,51,new_customers
12386.0,51,new_customers
12387.0,31,about_to_sleep
12388.0,22,hibernating
12389.0,33,need_attention
12391.0,24,at_Risk
12392.0,11,hibernating
12393.0,42,potential_loyalists
12395.0,54,champions
12396.0,11,hibernating
12399.0,43,potential_loyalists
12400.0,31,about_to_sleep
12402.0,44,loyal_customers
12403.0,21,hibernating
12404.0,11,hibernating
12406.0,43,potential_loyalists
12408.0,43,potential_loyalists
12409.0,34,loyal_customers
12410.0,21,hibernating
12411.0,31,about_to_sleep
12412.0,33,need_attention
12413.0,31,about_to_sleep
12414.0,23,at_Risk
12415.0,55,champions
12416.0,11,hibernating
12417.0,35,loyal_customers
12418.0,33,need_attention
12419.0,42,potential_loyalists
12421.0,32,about_to_sleep
12422.0,45,loyal_customers
12423.0,42,potential_loyalists
12424.0,32,about_to_sleep
12425.0,21,hibernating
12426.0,11,hibernating
12427.0,51,new_customers
12429.0,54,champions
12431.0,55,champions
12433.0,54,champions
12434.0,41,promising
12435.0,44,loyal_customers
12437.0,45,loyal_customers
12439.0,12,hibernating
12440.0,22,hibernating
12441.0,51,new_customers
12443.0,11,hibernating
12445.0,31,about_to_sleep
12449.0,32,about_to_sleep
12450.0,43,potential_loyalists
12451.0,23,at_Risk
12454.0,44,loyal_customers
12455.0,24,at_Risk
12457.0,31,about_to_sleep
12458.0,32,about_to_sleep
12459.0,11,hibernating
12460.0,21,hibernating
12466.0,11,hibernating
12467.0,31,about_to_sleep
12468.0,23,at_Risk
12469.0,22,hibernating
12470.0,11,hibernating
12471.0,55,champions
12472.0,55,champions
12474.0,55,champions
12475.0,31,about_to_sleep
12476.0,45,loyal_customers
12477.0,43,potential_loyalists
12480.0,43,potential_loyalists
12481.0,54,champions
12482.0,15,cant_loose
12483.0,55,champions
12484.0,24,at_Risk
12485.0,21,hibernating
12486.0,31,about_to_sleep
12487.0,11,hibernating
12490.0,55,champions
12492.0,31,about_to_sleep
12494.0,53,potential_loyalists
12495.0,11,hibernating
12496.0,12,hibernating
12497.0,42,potential_loyalists
12499.0,11,hibernating
12500.0,35,loyal_customers
12503.0,11,hibernating
12504.0,32,about_to_sleep
12505.0,31,about_to_sleep
12507.0,11,hibernating
12510.0,25,cant_loose
12511.0,31,about_to_sleep
12514.0,11,hibernating
12516.0,32,about_to_sleep
12519.0,21,hibernating
12523.0,55,champions
12524.0,45,loyal_customers
12525.0,23,at_Risk
12527.0,22,hibernating
12529.0,21,hibernating
12530.0,34,loyal_customers
12531.0,11,hibernating
12533.0,12,hibernating
12537.0,31,about_to_sleep
12538.0,51,new_customers
12539.0,23,at_Risk
12540.0,55,champions
12542.0,22,hibernating
12543.0,21,hibernating
12547.0,21,hibernating
12549.0,14,at_Risk
12553.0,42,potential_loyalists
12554.0,21,hibernating
12555.0,11,hibernating
12557.0,54,champions
12562.0,42,potential_loyalists
12563.0,31,about_to_sleep
12567.0,55,champions
12568.0,11,hibernating
