Customer ID,Recency_Score,Frequency_Score,Monetary_Score,Segment,RFM_Score
12346,2,5,2,cant_loose,25
12347,5,2,4,potential_loyalists,52
12348,2,1,1,hibernating,21
12349,3,3,5,need_attention,33
12351,5,1,2,new_customers,51
12352,5,2,2,potential_loyalists,52
12353,3,1,2,about_to_sleep,31
12355,1,1,2,hibernating,11
12356,4,3,5,potential_loyalists,43
12357,4,2,5,potential_loyalists,42
12358,5,3,5,potential_loyalists,53
12359,3,4,5,loyal_customers,34
12360,5,4,4,champions,54
12362,1,1,1,hibernating,11
12366,1,1,2,hibernating,11
12368,1,1,3,hibernating,11
12369,3,3,4,need_attention,33
12371,3,3,5,need_attention,33
12373,1,2,3,hibernating,12
12374,3,3,5,need_attention,33
12376,4,2,2,potential_loyalists,42
12377,4,2,4,potential_loyalists,42
12378,1,1,4,hibernating,11
12379,3,2,3,about_to_sleep,32
12380,2,5,5,cant_loose,25
12385,5,1,4,new_customers,51
12386,5,1,2,new_customers,51
12387,3,1,1,about_to_sleep,31
12388,2,2,4,hibernating,22
12389,3,3,4,need_attention,33
12392,1,1,1,hibernating,11
12393,4,2,3,potential_loyalists,42
12395,5,4,4,champions,54
12396,1,1,3,hibernating,11
12399,4,3,3,potential_loyalists,43
12400,3,1,1,about_to_sleep,31
12402,4,4,4,loyal_customers,44
12403,2,1,3,hibernating,21
12404,1,1,1,hibernating,11
12406,4,3,5,potential_loyalists,43
12408,4,3,4,potential_loyalists,43
12409,3,4,5,loyal_customers,34
12410,2,1,2,hibernating,21
12411,3,1,2,about_to_sleep,31
12412,3,3,4,need_attention,33
12413,3,1,1,about_to_sleep,31
12415,5,5,5,champions,55
12416,1,1,1,hibernating,11
12417,3,5,5,loyal_customers,35
12418,3,3,4,need_attention,33
12419,4,2,2,potential_loyalists,42
12421,3,2,2,about_to_sleep,32
12422,4,5,5,loyal_customers,45
12423,4,2,3,potential_loyalists,42
12424,3,2,4,about_to_sleep,32
12425,2,1,3,hibernating,21
12426,1,1,3,hibernating,11
12427,5,1,2,new_customers,51
12429,5,4,5,champions,54
12431,5,5,5,champions,55
12433,5,4,5,champions,54
12434,4,1,2,promising,41
12435,4,4,5,loyal_customers,44
12437,4,5,5,loyal_customers,45
12439,1,2,4,hibernating,12
12440,2,2,3,hibernating,22
12441,5,1,1,new_customers,51
12443,1,1,2,hibernating,11
12445,3,1,2,about_to_sleep,31
12449,3,2,3,about_to_sleep,32
12450,4,3,2,potential_loyalists,43
12454,4,4,5,loyal_customers,44
12457,3,1,3,about_to_sleep,31
12458,3,2,3,about_to_sleep,32
12459,1,1,2,hibernating,11
12460,2,1,2,hibernating,21
12466,1,1,1,hibernating,11
12467,3,1,1,about_to_sleep,31
12469,2,2,5,hibernating,22
12470,1,1,1,hibernating,11
12471,5,5,5,champions,55
12472,5,5,5,champions,55
12474,5,5,5,champions,55
12475,3,1,2,about_to_sleep,31
12476,4,5,5,loyal_customers,45
12477,4,3,5,potential_loyalists,43
12480,4,3,5,potential_loyalists,43
12481,5,4,5,champions,54
12482,1,5,5,cant_loose,15
12483,5,5,5,champions,55
12485,2,1,3,hibernating,21
12486,3,1,4,about_to_sleep,31
12487,1,1,2,hibernating,11
12490,5,5,5,champions,55
12492,3,1,2,about_to_sleep,31
12494,5,3,3,potential_loyalists,53
12495,1,1,2,hibernating,11
12496,1,2,1,hibernating,12
12497,4,2,5,potential_loyalists,42
12499,1,1,2,hibernating,11
12500,3,5,4,loyal_customers,35
12503,1,1,4,hibernating,11
12504,3,2,2,about_to_sleep,32
12505,3,1,3,about_to_sleep,31
12507,1,1,3,hibernating,11
12510,2,5,5,cant_loose,25
12511,3,1,5,about_to_sleep,31
12514,1,1,3,hibernating,11
12516,3,2,4,about_to_sleep,32
12519,2,1,2,hibernating,21
12523,5,5,5,champions,55
12524,4,5,5,loyal_customers,45
12527,2,2,2,hibernating,22
12529,2,1,2,hibernating,21
12530,3,4,4,loyal_customers,34
12531,1,1,4,hibernating,11
12533,1,2,4,hibernating,12
12537,3,1,3,about_to_sleep,31
12538,5,1,2,new_customers,51
12540,5,5,5,champions,55
12542,2,2,2,hibernating,22
12543,2,1,3,hibernating,21
12547,2,1,1,hibernating,21
12553,4,2,3,potential_loyalists,42
12554,2,1,2,hibernating,21
12555,1,1,1,hibernating,11
12557,5,4,5,champions,54
12562,4,2,4,potential_loyalists,42
12563,3,1,1,about_to_sleep,31
12567,5,5,5,champions,55
12568,1,1,1,hibernating,11
12570,1,1,1,hibernating,11
12573,4,4,3,loyal_customers,44
