Customer ID,RFM_Score,Segment
12346.0,11,hibernating
12347.0,55,champions
12348.0,24,at_Risk
12349.0,41,promising
12350.0,11,hibernating
12352.0,35,loyal_customers
12353.0,11,hibernating
12354.0,11,hibernating
12355.0,11,hibernating
12356.0,43,potential_loyalists
12357.0,31,about_to_sleep
12358.0,52,potential_loyalists
12359.0,34,loyal_customers
12360.0,33,need_attention
12361.0,11,hibernating
12362.0,55,champions
12363.0,22,hibernating
12364.0,54,champions
12365.0,12,hibernating
12367.0,51,new_customers
12370.0,34,loyal_customers
12371.0,32,about_to_sleep
12372.0,33,need_attention
12373.0,11,hibernating
12374.0,41,promising
12375.0,52,potential_loyalists
12377.0,12,hibernating
12378.0,21,hibernating
12379.0,22,hibernating
12380.0,44,loyal_customers
12381.0,54,champions
12383.0,14,at_Risk
12384.0,42,potential_loyalists
12386.0,12,hibernating
12388.0,44,loyal_customers
12390.0,21,hibernating
12391.0,41,promising
12393.0,24,at_Risk
12394.0,32,about_to_sleep
12395.0,45,loyal_customers
12397.0,32,about_to_sleep
12398.0,31,about_to_sleep
12399.0,24,at_Risk
12401.0,11,hibernating
12402.0,11,hibernating
12403.0,31,about_to_sleep
12405.0,21,hibernating
12406.0,42,potential_loyalists
12407.0,34,loyal_customers
12408.0,44,loyal_customers
12409.0,23,at_Risk
12410.0,12,hibernating
12412.0,23,at_Risk
12413.0,33,need_attention
12414.0,13,at_Risk
12415.0,45,loyal_customers
12417.0,55,champions
12418.0,21,hibernating
12420.0,31,about_to_sleep
12421.0,44,loyal_customers
12422.0,23,at_Risk
12423.0,55,champions
12424.0,22,hibernating
12425.0,21,hibernating
12426.0,11,hibernating
12427.0,43,potential_loyalists
12428.0,45,loyal_customers
12429.0,54,champions
12430.0,31,about_to_sleep
12431.0,35,loyal_customers
12432.0,34,loyal_customers
12433.0,55,champions
12434.0,22,hibernating
12435.0,22,hibernating
12436.0,21,hibernating
12437.0,55,champions
12438.0,42,potential_loyalists
12441.0,11,hibernating
12442.0,51,new_customers
12444.0,44,loyal_customers
12445.0,41,promising
12446.0,31,about_to_sleep
12447.0,11,hibernating
12448.0,31,about_to_sleep
12449.0,44,loyal_customers
12450.0,22,hibernating
12451.0,54,champions
12452.0,42,potential_loyalists
12453.0,21,hibernating
12454.0,31,about_to_sleep
12455.0,24,at_Risk
12456.0,33,need_attention
12457.0,35,loyal_customers
12458.0,32,about_to_sleep
12461.0,22,hibernating
12462.0,42,potential_loyalists
12463.0,34,loyal_customers
12464.0,55,champions
12465.0,42,potential_loyalists
12468.0,12,hibernating
12471.0,55,champions
12472.0,45,loyal_customers
12473.0,44,loyal_customers
12474.0,45,loyal_customers
12475.0,31,about_to_sleep
12476.0,45,loyal_customers
12477.0,44,loyal_customers
12478.0,51,new_customers
12479.0,51,new_customers
12480.0,44,loyal_customers
12481.0,45,loyal_customers
12483.0,45,loyal_customers
12484.0,44,loyal_customers
12488.0,53,potential_loyalists
12489.0,11,hibernating
12490.0,55,champions
12491.0,31,about_to_sleep
12492.0,32,about_to_sleep
12493.0,22,hibernating
12494.0,45,loyal_customers
12497.0,21,hibernating
12498.0,43,potential_loyalists
12500.0,45,loyal_customers
12501.0,11,hibernating
12502.0,24,at_Risk
12504.0,42,potential_loyalists
12506.0,11,hibernating
12507.0,23,at_Risk
12508.0,42,potential_loyalists
12509.0,11,hibernating
12510.0,22,hibernating
12512.0,32,about_to_sleep
12513.0,21,hibernating
12514.0,11,hibernating
12515.0,11,hibernating
12516.0,22,hibernating
12517.0,44,loyal_customers
12518.0,54,champions
12519.0,31,about_to_sleep
12520.0,24,at_Risk
12521.0,21,hibernating
12522.0,32,about_to_sleep
12523.0,45,loyal_customers
12524.0,55,champions
12526.0,53,potential_loyalists
12527.0,23,at_Risk
12528.0,55,champions
